scenario_id,ego_id,rule,repairability,model,TV,TC,maneuvers,SAT_time,TC_time,reach_time,total_time
DEU_AachenBendplatz-1_155320_T-5339,10335,R_IN1,initial feasibility
DEU_AachenBendplatz-1_75140_T-5159,10203,R_IN1,bingo,"{'~a', 'b', '~e'}",1,0,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",5.817413330078125e-05,0.020573139190673828,0.029114246368408203,0.07359027862548828
DEU_AachenBendplatz-1_171600_T-1619,10125,R_IN1,error/failed with 'float' object has no attribute 'dtype',"{'d', '~a', '~e', '~b'}",2,-inf,[<Maneuver.KICKDOWN: 'kick-down'>],4.935264587402344e-05,0.018497467041015625,0,0.01854681968688965
DEU_AachenBendplatz-1_124700_T-4719,10320,R_IN1,error/failed with 'float' object has no attribute 'dtype',"{'d', '~a', '~e', '~b'}",2,-inf,[<Maneuver.KICKDOWN: 'kick-down'>],5.245208740234375e-05,0.01844954490661621,0,0.018501996994018555
DEU_AachenBendplatz-1_12700_T-719,10035,R_IN1,bingo,"{'~a', 'b', '~e'}",4,0,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",3.9577484130859375e-05,0.05596041679382324,0.03396892547607422,0.1309521198272705
DEU_AachenFrankenburg-1_184060_T-4079,10290,R_IN4,bingo,"{'~d', '~n', '~j'}",1,0,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.0265579223632812e-05,0.039559125900268555,0.033945560455322266,0.11508989334106445
DEU_AachenBendplatz-1_162800_T-2819,10214,R_IN1,bingo,"{'~a', 'b', '~e'}",4,0,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",0.00026917457580566406,0.4678177833557129,0.304563045501709,0.9831385612487793
DEU_AachenBendplatz-1_16640_T-659,10046,R_IN4,error/failed with maximum recursion depth exceeded in comparison,"{'~b', '~d', 'o', '~g', '~h', 'f', '~e', '~i', '~a', '~j', '~k', 'n', '~m', '~c'}",2,-inf,[<Maneuver.CONSTANT: 'constant velocity'>],9.679794311523438e-05,0.25316834449768066,0,0.2532651424407959
DEU_AachenBendplatz-1_134900_T-4919,10351,R_IN1,bingo,"{'~a', 'b', '~e'}",5,0,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",3.361701965332031e-05,0.06377387046813965,0.0502166748046875,0.13937664031982422
DEU_AachenBendplatz-1_145000_T-5019,10367,R_IN4,bingo,"{'~n', '~j', '~e'}",6,0,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",1.8358230590820312e-05,0.11165928840637207,0.04646134376525879,0.1812269687652588
