scenario_id,scenario_path,ego_id,target_id,rule_STL
DEU_AachenBendplatz-1_12960_T-979_in5_safe_variant_01,scenarios/in5_generate/DEU_AachenBendplatz-1_12960_T-979_in5_safe_variant_01.xml,10047,10048,R_IN5
DEU_AachenBendplatz-1_132900_T-2919_in5_safe_variant_02,scenarios/in5_generate/DEU_AachenBendplatz-1_132900_T-2919_in5_safe_variant_02.xml,10204,10205,R_IN5
DEU_AachenBendplatz-1_84280_T-4299_in5_safe_variant_05,scenarios/in5_generate/DEU_AachenBendplatz-1_84280_T-4299_in5_safe_variant_05.xml,10331,10329,R_IN5
DEU_AachenFrankenburg-1_206020_T-6039_in5_safe_variant_06,scenarios/in5_generate/DEU_AachenFrankenburg-1_206020_T-6039_in5_safe_variant_06.xml,10462,10457,R_IN5
DEU_AachenBendplatz-1_132900_T-2919_in5_safe_variant_13,scenarios/in5_generate/DEU_AachenBendplatz-1_132900_T-2919_in5_safe_variant_13.xml,10204,10205,R_IN5
DEU_AachenBendplatz-1_83820_T-3839_in5_safe_variant_15,scenarios/in5_generate/DEU_AachenBendplatz-1_83820_T-3839_in5_safe_variant_15.xml,10288,10294,R_IN5
DEU_AachenBendplatz-1_84280_T-4299_in5_safe_variant_16,scenarios/in5_generate/DEU_AachenBendplatz-1_84280_T-4299_in5_safe_variant_16.xml,10331,10329,R_IN5
DEU_AachenFrankenburg-1_295880_T-5899_in5_safe_variant_21,scenarios/in5_generate/DEU_AachenFrankenburg-1_295880_T-5899_in5_safe_variant_21.xml,10562,10564,R_IN5
DEU_AachenBendplatz-1_132900_T-2919_in5_safe_variant_24,scenarios/in5_generate/DEU_AachenBendplatz-1_132900_T-2919_in5_safe_variant_24.xml,10204,10205,R_IN5
DEU_AachenBendplatz-1_83820_T-3839_in5_safe_variant_26,scenarios/in5_generate/DEU_AachenBendplatz-1_83820_T-3839_in5_safe_variant_26.xml,10288,10294,R_IN5
DEU_AachenBendplatz-1_84280_T-4299_in5_safe_variant_27,scenarios/in5_generate/DEU_AachenBendplatz-1_84280_T-4299_in5_safe_variant_27.xml,10331,10329,R_IN5
DEU_AachenFrankenburg-1_295880_T-5899_in5_safe_variant_32,scenarios/in5_generate/DEU_AachenFrankenburg-1_295880_T-5899_in5_safe_variant_32.xml,10562,10564,R_IN5
DEU_AachenBendplatz-1_12960_T-979_in5_safe_variant_34,scenarios/in5_generate/DEU_AachenBendplatz-1_12960_T-979_in5_safe_variant_34.xml,10047,10048,R_IN5
DEU_AachenBendplatz-1_132900_T-2919_in5_safe_variant_35,scenarios/in5_generate/DEU_AachenBendplatz-1_132900_T-2919_in5_safe_variant_35.xml,10204,10205,R_IN5
DEU_AachenBendplatz-1_83820_T-3839_in5_safe_variant_37,scenarios/in5_generate/DEU_AachenBendplatz-1_83820_T-3839_in5_safe_variant_37.xml,10288,10294,R_IN5
DEU_AAH1-2_7900_T-1049_in5_variant_01,scenarios/in5_generate/DEU_AAH1-2_7900_T-1049_in5_variant_01.xml,10020,10019,R_IN5
DEU_AAH1-2_7900_T-1049_in5_variant_03,scenarios/in5_generate/DEU_AAH1-2_7900_T-1049_in5_variant_03.xml,10020,10019,R_IN5
DEU_AAH1-2_7900_T-1049_in5_variant_05,scenarios/in5_generate/DEU_AAH1-2_7900_T-1049_in5_variant_05.xml,10020,10019,R_IN5
DEU_AAH1-2_7900_T-1049_in5_variant_06,scenarios/in5_generate/DEU_AAH1-2_7900_T-1049_in5_variant_06.xml,10020,10019,R_IN5
DEU_AAH1-2_7900_T-1049_in5_variant_07,scenarios/in5_generate/DEU_AAH1-2_7900_T-1049_in5_variant_07.xml,10020,10019,R_IN5
DEU_AAH1-2_7900_T-1049_in5_variant_09,scenarios/in5_generate/DEU_AAH1-2_7900_T-1049_in5_variant_09.xml,10020,10019,R_IN5
