scenario_id,scenario_path,ego_id,rule,repairer_type,planner,constraint_mode,sat_solver_mode,extend_acceleration_reference_path,attempted_smt_configurations,success,iterations,successful_repair_mode,deceleration_iterations,acceleration_iterations,tv,tc,updated_tv,domain_dict_size,predicate_value_estimate_time,vp_planning_time,constraint_extract_time,sat_solve_time,domain_dict_time,sat_time,clcs_time,constraint_extraction_time,constraint_conversion_time,lp_time,trajectory_build_time,tc_search_time,reach_set_time,optimization_time,core_total_time,wall_time,error,timing_run_success,timing_run_error,timing_run_updated_tv,timing_run_valid,timing_run_invalid_reason
DEU_LocationALower-34_37_T-1,,9,R_G1,vp,1,1,domain_dpll,True,,True,1,deceleration,1,0,2,0,inf,1,0.002842426300048828,0.01671600341796875,0.010057210922241211,0.00011754035949707031,0.002842426300048828,0.00011754035949707031,0.0066432952880859375,0.00027108192443847656,0.009786128997802734,0.01603412628173828,0.0006818771362304688,0.0,0.0,0.0,0.02973318099975586,1.099691390991211,,,,,,
DEU_LocationALower-34_37_T-1,,9,R_G1,vp,1,1,dpll,True,,True,1,deceleration,1,0,2,0,inf,0,0.0,0.004118919372558594,0.001209259033203125,3.933906555175781e-05,0.0,3.933906555175781e-05,0.002183675765991211,0.0002586841583251953,0.0009505748748779297,0.003827333450317383,0.00029158592224121094,0.0,0.0,0.0,0.0053675174713134766,0.9654536247253418,,,,,,
DEU_LocationALower-34_37_T-1,,9,R_G1,smt,1,1,dpll,,p1_c1:ok,True,1,,0,0,2,0,inf,0,0.0,0.0,0.0,0.0,0.0,0.00011506899954838445,0.0,0.0,0.0,0.0,0.0,4.982948303222656e-05,0.0022766590118408203,0.10042405128479004,0.10286560877921147,1.5858957767486572,,True,,inf,True,
DEU_LocationALower-11_131_T-1,,18,R_G1,vp,1,1,domain_dpll,True,,True,1,deceleration,1,0,9,0,inf,1,0.0030722618103027344,0.004613399505615234,0.0013146400451660156,6.031990051269531e-05,0.0030722618103027344,6.031990051269531e-05,0.002530336380004883,0.00029158592224121094,0.0010230541229248047,0.004345893859863281,0.0002675056457519531,0.0,0.0,0.0,0.00906062126159668,1.155735969543457,,,,,,
DEU_LocationALower-11_131_T-1,,18,R_G1,vp,1,1,dpll,True,,True,1,deceleration,1,0,9,0,inf,0,0.0,0.004942178726196289,0.0014352798461914062,4.029273986816406e-05,0.0,4.029273986816406e-05,0.002403736114501953,0.00030994415283203125,0.001125335693359375,0.004650115966796875,0.00029206275939941406,0.0,0.0,0.0,0.006417751312255859,1.095158338546753,,,,,,
DEU_LocationALower-11_131_T-1,,18,R_G1,smt,1,1,dpll,,p1_c1:ok,True,1,,0,0,9,0,inf,0,0.0,0.0,0.0,0.0,0.0,0.00011373899997124681,0.0,0.0,0.0,0.0,0.0,5.435943603515625e-05,0.002676248550415039,0.11047625541687012,0.11332060240329156,1.715754747390747,,True,,inf,True,
DEU_LocationALower-11_4_T-1,,18,R_G1,vp,1,1,domain_dpll,True,,True,1,deceleration,1,0,6,0,inf,1,0.003042936325073242,0.004876613616943359,0.0014455318450927734,7.510185241699219e-05,0.003042936325073242,7.510185241699219e-05,0.002262115478515625,0.00036263465881347656,0.0010828971862792969,0.0046234130859375,0.0002532005310058594,0.0,0.0,0.0,0.009440183639526367,0.9474174976348877,,,,,,
DEU_LocationALower-11_4_T-1,,18,R_G1,vp,1,1,dpll,True,,True,1,deceleration,1,0,6,0,inf,0,0.0,0.0041811466217041016,0.0012598037719726562,4.220008850097656e-05,0.0,4.220008850097656e-05,0.0022804737091064453,0.00027751922607421875,0.0009822845458984375,0.0039026737213134766,0.000278472900390625,0.0,0.0,0.0,0.005483150482177734,0.9509792327880859,,,,,,
DEU_LocationALower-11_4_T-1,,18,R_G1,smt,1,1,dpll,,p1_c1:ok,True,1,,0,0,6,0,inf,0,0.0,0.0,0.0,0.0,0.0,0.0001369419996990473,0.0,0.0,0.0,0.0,0.0,5.364418029785156e-05,0.002598285675048828,0.10691523551940918,0.1097041073744549,1.5466725826263428,,True,,inf,True,
DEU_LocationALower-11_43_T-1,,17,R_G1,vp,1,1,domain_dpll,True,,True,1,deceleration,1,0,2,0,inf,1,0.003320455551147461,0.004643678665161133,0.001325368881225586,8.96453857421875e-05,0.003320455551147461,8.96453857421875e-05,0.0024633407592773438,0.00030803680419921875,0.0010173320770263672,0.004389286041259766,0.0002543926239013672,0.0,0.0,0.0,0.009379148483276367,1.0423164367675781,,,,,,
DEU_LocationALower-11_43_T-1,,17,R_G1,vp,1,1,dpll,True,,True,2,deceleration,2,0,2,0,inf,0,0.0,0.012750387191772461,0.0020716190338134766,9.775161743164062e-05,0.0,9.775161743164062e-05,0.010204315185546875,0.0002739429473876953,0.0017976760864257812,0.012485742568969727,0.0002646446228027344,0.0,0.0,0.0,0.014919757843017578,1.0107216835021973,,,,,,
DEU_LocationALower-11_43_T-1,,17,R_G1,smt,1,1,dpll,,p1_c1:ok,True,2,,0,0,2,0,inf,0,0.0,0.0,0.0,0.0,0.0,0.0003132720003122813,0.0,0.0,0.0,0.0,0.0,0.05863499641418457,0.0027942657470703125,0.11502814292907715,0.1767706770906443,1.6960041522979736,,True,,inf,True,
DEU_LocationALower-11_56_T-1,,15,R_G1,vp,1,1,domain_dpll,True,,True,1,deceleration,1,0,14,0,inf,2,0.0031147003173828125,0.009338140487670898,0.0012826919555664062,6.413459777832031e-05,0.0031147003173828125,6.413459777832031e-05,0.002386331558227539,0.0002911090850830078,0.0009915828704833984,0.009050369262695312,0.00028777122497558594,0.0,0.0,0.0,0.013799667358398438,1.0444884300231934,,,,,,
DEU_LocationALower-11_56_T-1,,15,R_G1,vp,1,1,dpll,True,,True,1,deceleration,1,0,14,0,inf,0,0.0,0.004355907440185547,0.001312255859375,4.124641418457031e-05,0.0,4.124641418457031e-05,0.0023038387298583984,0.0002987384796142578,0.0010135173797607422,0.00408625602722168,0.0002696514129638672,0.0,0.0,0.0,0.005709409713745117,0.9978492259979248,,,,,,
DEU_LocationALower-11_56_T-1,,15,R_G1,smt,1,1,dpll,,p1_c1:ok,True,1,,0,0,14,0,inf,0,0.0,0.0,0.0,0.0,0.0,0.00011987299967586296,0.0,0.0,0.0,0.0,0.0,5.745887756347656e-05,0.002551555633544922,0.11610102653503418,0.11882991404581844,1.6406259536743164,,True,,inf,True,
DEU_LocationALower-11_64_T-1,,18,R_G1,vp,1,1,domain_dpll,True,,True,1,deceleration,1,0,15,0,inf,2,0.0028655529022216797,0.004255056381225586,0.0012385845184326172,6.008148193359375e-05,0.0028655529022216797,6.008148193359375e-05,0.002323627471923828,0.0002818107604980469,0.0009567737579345703,0.00397944450378418,0.00027561187744140625,0.0,0.0,0.0,0.008419275283813477,1.0306973457336426,,,,,,
DEU_LocationALower-11_64_T-1,,18,R_G1,vp,1,1,dpll,True,,True,1,deceleration,1,0,15,0,inf,0,0.0,0.004761457443237305,0.0013196468353271484,4.744529724121094e-05,0.0,4.744529724121094e-05,0.002437114715576172,0.0003314018249511719,0.0009882450103759766,0.0045185089111328125,0.0002429485321044922,0.0,0.0,0.0,0.006128549575805664,1.0099718570709229,,,,,,
DEU_LocationALower-11_64_T-1,,18,R_G1,smt,1,1,dpll,,p1_c1:ok,True,1,,0,0,15,0,inf,0,0.0,0.0,0.0,0.0,0.0,0.00012819199946534354,0.0,0.0,0.0,0.0,0.0,5.698204040527344e-05,0.002981424331665039,0.13482141494750977,0.13798801331904542,1.6644649505615234,,True,,inf,True,
DEU_LocationALower-12_109_T-1,,20,R_G1,vp,1,1,domain_dpll,True,,True,1,deceleration,1,0,19,0,inf,2,0.0029740333557128906,0.004134416580200195,0.0013129711151123047,6.628036499023438e-05,0.0029740333557128906,6.628036499023438e-05,0.0023245811462402344,0.00030493736267089844,0.0010080337524414062,0.0038979053497314453,0.00023651123046875,0.0,0.0,0.0,0.008487701416015625,1.1572744846343994,,,,,,
DEU_LocationALower-12_109_T-1,,20,R_G1,vp,1,1,dpll,True,,True,1,deceleration,1,0,19,0,inf,0,0.0,0.004361391067504883,0.001348257064819336,4.863739013671875e-05,0.0,4.863739013671875e-05,0.0024144649505615234,0.00030732154846191406,0.0010409355163574219,0.004110813140869141,0.0002505779266357422,0.0,0.0,0.0,0.0057582855224609375,1.1286826133728027,,,,,,
